,alpha,performance,capacity,method
349,1.2,1.2596040955847418,3.0,rewire
350,1.3,1.0363415563711864,0.0,rewire
351,1.4,0.977913074686373,0.0,rewire
352,1.5,0.8958935562539994,0.0,rewire
353,2.0,0.5147575885526741,0.0,rewire
354,2.5,0.5123190954979823,0.0,rewire
355,3.0,0.4738297588844665,0.0,rewire
356,3.5,0.3669791314908088,0.0,rewire
357,0.3,4.525244071711515,6.0,rewire
358,0.5,4.824030369944658,5.0,rewire
359,0.7,5.361935621485608,5.0,rewire
360,0.8,5.868410950217742,5.0,rewire
361,0.9,6.257488732873729,5.0,rewire
362,0.95,6.124632901619711,5.0,rewire
363,1.0,4.346308229697231,6.0,rewire
364,1.05,1.6344903075189503,3.0,rewire
365,1.1,1.228910387807126,3.0,rewire
366,1.2,1.1933503131249747,8.0,rewire
367,1.3,1.0434630698814624,0.0,rewire
368,1.4,0.9469367309920392,0.0,rewire
369,1.5,0.7970724788942687,0.0,rewire
370,2.0,0.5083764517924494,0.0,rewire
371,2.5,0.4789013814973212,0.0,rewire
372,3.0,0.4411867633951093,0.0,rewire
373,3.5,0.4185115842006051,0.0,rewire
374,0.3,4.54430511083918,6.0,rewire
375,0.5,4.830326423014935,5.0,rewire
376,0.7,5.343042348277629,5.0,rewire
377,0.8,5.71003633935142,5.0,rewire
378,0.9,6.049346523868389,5.0,rewire
379,0.95,5.844487033522879,5.0,rewire
380,1.0,4.318908724782484,7.0,rewire
381,1.05,1.7982098304925775,3.0,rewire
382,1.1,1.4635317403595678,3.0,rewire
383,1.2,1.182753276485867,8.0,rewire
384,1.3,1.0288696550149732,0.0,rewire
385,1.4,0.9893531587680476,0.0,rewire
386,1.5,0.8341583872899829,0.0,rewire
387,2.0,0.5231702501604669,0.0,rewire
388,2.5,0.4905508128574099,0.0,rewire
389,3.0,0.3765650678071434,0.0,rewire
390,3.5,0.4760950130608883,0.0,rewire
391,0.3,4.553139522442299,6.0,rewire
392,0.5,4.833355289680212,5.0,rewire
393,0.7,5.358083723292344,5.0,rewire
394,0.8,5.773518500768319,5.0,rewire
395,0.9,6.483895780971385,5.0,rewire
396,0.95,6.242672922592029,5.0,rewire
397,1.0,4.4096096661355695,7.0,rewire
398,1.05,2.107570337675235,14.0,rewire
399,1.1,1.2656145736335551,8.0,rewire
400,1.2,1.2084372335789493,8.0,rewire
401,1.3,1.0541616831631715,0.0,rewire
402,1.4,0.9833472239139924,0.0,rewire
403,1.5,0.8291699667683983,0.0,rewire
404,2.0,0.5274087450657298,0.0,rewire
405,2.5,0.4885442798112441,0.0,rewire
406,3.0,0.3309320795356081,0.0,rewire
407,3.5,0.3634078817848967,0.0,rewire
408,0.3,4.525122094201765,6.0,rewire
409,0.5,4.838489985482155,5.0,rewire
410,0.7,5.344018495557839,5.0,rewire
411,0.8,5.698210596022479,5.0,rewire
412,0.9,5.9740686133683845,5.0,rewire
413,0.95,5.8815885291956445,5.0,rewire
414,1.0,4.251858737297199,7.0,rewire
415,1.05,1.1394652420515483,3.0,rewire
416,1.1,1.7864337532563972,3.0,rewire
417,1.2,1.128171434786439,8.0,rewire
418,1.3,1.0823658124242523,0.0,rewire
419,1.4,0.9780523463701284,0.0,rewire
420,1.5,0.8328626621343401,0.0,rewire
421,2.0,0.6176486051197603,0.0,rewire
422,2.5,0.4750904303909205,0.0,rewire
